SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1012,solana,,2023-04-27 00:00:00,22.494,21.18,21.284,22.332,5.97M,0.0
1013,solana,,2023-04-28 00:00:00,23.471,22.184,22.332,23.348,6.06M,0.0
1014,solana,,2023-04-29 00:00:00,23.778,22.934,23.348,23.186,4.04M,0.0
1015,solana,,2023-04-30 00:00:00,23.902,22.739,23.186,22.739,4.05M,0.0
1016,solana,,2023-05-01 00:00:00,22.88,21.6,22.739,21.975,5.00M,0.0
1017,solana,,2023-05-02 00:00:00,22.374,21.76,21.952,22.252,3.28M,0.0
1018,solana,,2023-05-03 00:00:00,22.282,21.254,22.25,22.22,5.12M,0.0
1019,solana,,2023-05-04 00:00:00,22.472,21.616,22.22,21.74,3.21M,0.0
1020,solana,,2023-05-05 00:00:00,23.043,21.656,21.74,22.825,4.96M,0.0
1021,solana,,2023-05-06 00:00:00,23.224,21.613,22.825,21.928,3.87M,0.0
1022,solana,,2023-05-07 00:00:00,22.734,21.655,21.928,21.655,3.80M,0.0
1023,solana,,2023-05-08 00:00:00,21.807,20.003,21.657,20.632,7.05M,0.0
1024,solana,,2023-05-09 00:00:00,20.997,20.427,20.632,20.673,3.22M,0.0
1025,solana,,2023-05-10 00:00:00,21.297,19.999,20.658,20.932,6.52M,0.0
1026,solana,,2023-05-11 00:00:00,20.934,19.797,20.934,20.184,4.78M,0.0
1027,solana,,2023-05-12 00:00:00,20.936,19.83,20.184,20.906,4.36M,0.0
1028,solana,,2023-05-13 00:00:00,21.277,20.792,20.906,20.832,2.31M,0.0
1029,solana,,2023-05-14 00:00:00,21.234,20.632,20.832,20.944,1.97M,0.0
1030,solana,,2023-05-15 00:00:00,21.504,20.622,20.944,20.99,3.93M,0.0
1031,solana,,2023-05-16 00:00:00,21.133,20.45,20.987,20.673,3.77M,0.0
1032,solana,,2023-05-17 00:00:00,21.182,20.44,20.673,21.047,3.49M,0.0
1033,solana,,2023-05-18 00:00:00,21.09,20.127,21.047,20.347,3.67M,0.0
1034,solana,,2023-05-19 00:00:00,20.563,20.267,20.347,20.35,1.66M,0.0
1035,solana,,2023-05-20 00:00:00,20.36,20.113,20.35,20.29,1.28M,0.0
1036,solana,,2023-05-21 00:00:00,20.39,19.413,20.29,19.612,2.57M,0.0
1037,solana,,2023-05-22 00:00:00,19.997,19.37,19.612,19.53,3.02M,0.0
1038,solana,,2023-05-23 00:00:00,20.166,19.426,19.53,20.028,3.28M,0.0
1039,solana,,2023-05-24 00:00:00,20.07,18.852,20.03,19.213,3.80M,0.0
1040,solana,,2023-05-25 00:00:00,19.54,18.798,19.213,19.25,2.37M,0.0
1041,solana,,2023-05-26 00:00:00,19.553,19.093,19.25,19.35,1.44M,0.0
1042,solana,,2023-05-27 00:00:00,20.512,19.33,19.353,20.424,2.00M,0.0
1043,solana,,2023-05-28 00:00:00,21.165,20.302,20.422,20.802,3.53M,0.0
1044,solana,,2023-05-29 00:00:00,20.974,20.28,20.8,20.572,2.84M,0.0
1045,solana,,2023-05-30 00:00:00,21.396,20.472,20.572,21.253,4.46M,0.0
1046,solana,,2023-05-31 00:00:00,21.326,20.435,21.253,20.823,2.84M,0.0
1047,solana,,2023-06-01 00:00:00,20.983,20.437,20.82,20.497,2.29M,0.0
1048,solana,,2023-06-02 00:00:00,21.372,20.325,20.497,21.258,2.66M,0.0
1049,solana,,2023-06-03 00:00:00,21.345,20.994,21.262,21.19,1.48M,0.0
1050,solana,,2023-06-04 00:00:00,22.29,21.035,21.195,21.83,3.61M,0.0
1051,solana,,2023-06-05 00:00:00,22.052,19.353,21.83,20.0,8.37M,0.0
1052,solana,,2023-06-06 00:00:00,20.685,19.265,19.993,20.39,5.77M,0.0
1053,solana,,2023-06-07 00:00:00,20.512,18.527,20.39,18.627,5.40M,0.0
1054,solana,,2023-06-08 00:00:00,19.093,18.258,18.633,18.892,3.15M,0.0
1055,solana,,2023-06-09 00:00:00,19.325,17.125,18.89,17.398,6.20M,0.0
1056,solana,,2023-06-10 00:00:00,17.398,13.33,17.398,15.623,20.69M,0.0
1057,solana,,2023-06-11 00:00:00,16.142,15.142,15.622,15.551,7.04M,0.0
1058,solana,,2023-06-12 00:00:00,15.649,14.759,15.55,15.19,6.09M,0.0
1059,solana,,2023-06-13 00:00:00,15.931,14.78,15.191,15.038,5.77M,0.0
1060,solana,,2023-06-14 00:00:00,15.336,14.14,15.037,14.488,4.82M,0.0
1061,solana,,2023-06-15 00:00:00,15.049,14.189,14.49,14.787,5.38M,0.0
1062,solana,,2023-06-16 00:00:00,15.45,14.454,14.787,15.32,3.94M,0.0
1063,solana,,2023-06-17 00:00:00,16.093,15.17,15.32,15.64,3.12M,0.0
1064,solana,,2023-06-18 00:00:00,15.828,15.34,15.64,15.448,1.94M,0.0
1065,solana,,2023-06-19 00:00:00,16.13,15.368,15.448,16.102,2.41M,0.0
1066,solana,,2023-06-20 00:00:00,16.653,15.758,16.102,16.633,4.10M,0.0
1067,solana,,2023-06-21 00:00:00,17.402,16.57,16.633,17.245,5.53M,0.0
1068,solana,,2023-06-22 00:00:00,17.725,16.582,17.237,16.634,4.33M,0.0
1069,solana,,2023-06-23 00:00:00,17.512,16.218,16.634,17.142,6.42M,0.0
1070,solana,,2023-06-24 00:00:00,17.525,16.392,17.142,16.642,3.53M,0.0
1071,solana,,2023-06-25 00:00:00,17.38,16.573,16.642,16.964,3.45M,0.0
1072,solana,,2023-06-26 00:00:00,17.112,15.986,16.962,16.262,3.98M,0.0
1073,solana,,2023-06-27 00:00:00,16.92,16.14,16.262,16.622,3.85M,0.0
1074,solana,,2023-06-28 00:00:00,16.648,15.712,16.622,15.965,5.32M,0.0
1075,solana,,2023-06-29 00:00:00,18.238,15.885,15.968,17.99,9.57M,0.0
1076,solana,,2023-06-30 00:00:00,19.93,17.33,17.988,18.858,13.57M,0.0
1077,solana,,2023-07-01 00:00:00,18.983,17.919,18.858,18.719,4.08M,0.0
1078,solana,,2023-07-02 00:00:00,19.718,18.559,18.719,19.462,5.97M,0.0
1079,solana,,2023-07-03 00:00:00,19.64,18.89,19.46,19.234,3.79M,0.0
1080,solana,,2023-07-04 00:00:00,19.928,19.08,19.234,19.134,3.86M,0.0
1081,solana,,2023-07-05 00:00:00,19.376,18.476,19.134,18.99,3.19M,0.0
1082,solana,,2023-07-06 00:00:00,20.964,18.86,18.992,19.641,11.93M,0.0
1083,solana,,2023-07-07 00:00:00,21.698,19.298,19.616,21.493,11.56M,0.0
1084,solana,,2023-07-08 00:00:00,22.447,21.329,21.495,21.823,7.76M,0.0
1085,solana,,2023-07-09 00:00:00,22.332,21.042,21.823,21.342,4.59M,0.0
1086,solana,,2023-07-10 00:00:00,21.79,20.532,21.325,21.305,6.75M,0.0
1087,solana,,2023-07-11 00:00:00,22.305,21.212,21.298,22.078,5.53M,0.0
1088,solana,,2023-07-12 00:00:00,22.72,21.776,22.078,21.942,7.45M,0.0
1089,solana,,2023-07-13 00:00:00,26.651,21.45,21.938,25.995,19.22M,0.0
1090,solana,,2023-07-14 00:00:00,30.574,25.309,25.991,26.679,23.77M,0.0
1091,solana,,2023-07-15 00:00:00,29.072,26.547,26.675,27.456,12.93M,0.0
1092,solana,,2023-07-16 00:00:00,28.553,26.764,27.461,27.42,8.11M,0.0
1093,solana,,2023-07-17 00:00:00,28.455,25.794,27.42,26.804,10.59M,0.0
1094,solana,,2023-07-18 00:00:00,27.062,24.793,26.804,25.554,8.12M,0.0
